Database Migration Validation
=========================================================================================================================
No.  PGSQL Number Of Table         MSSQL Number Of Table         
1    203                           203                           
=========================================================================================================================
Table Count Comparable Result: true
Table Name Comparable Result: true
Overall: true

Column Count and Migration Validation
=========================================================================================================================
No.  TABLE_NAME                                        MSSQL     PGSQL     Count Comparable    Column Name Comparable        
103  SECURITY_QUESTIONS_TEMP                           7         7         true                true                          
104  SEQUENCE_NUMBER                                   7         7         true                true                          
105  SERVICES_CONFIGURATION                            10        10        true                true                          
106  SPECIAL_CHARACTER                                 6         6         true                true                          
107  SPECIAL_CHARACTER_AUDIT                           7         7         true                true                          
108  SPECIAL_CHARACTER_TEMP                            7         7         true                true                          
109  STATUS_UPDATE_CATEGORY                            4         4         true                true                          
110  STD_CODE                                          7         7         true                true                          
111  STD_CODE_TEMP                                     8         8         true                true                          
112  STOCK_CODE                                        9         9         true                true                          
113  STOCK_CODE_AUDIT                                  10        10        true                true                          
114  STOCK_CODE_TEMP                                   10        10        true                true                          
115  STP_MESSAGE_TRAIL                                 5         5         true                true                          
116  SYSTEM_CONFIGURATION                              8         8         true                true                          
117  SYSTEM_CONFIGURATION_AUDIT                        9         9         true                true                          
118  SYSTEM_CONFIGURATION_TEMP                         9         9         true                true                          
119  SYSTEM_INTEGRITY                                  5         5         true                true                          
120  SYSTEM_PROFILE                                    18        18        true                true                          
121  SYSTEM_PROFILE_AUDIT                              19        19        true                true                          
122  SYSTEM_PROFILE_TEMP                               19        19        true                true                          
123  SYSTEM_SECURITY                                   55        55        true                true                          
124  SYSTEM_SECURITY_AUDIT                             56        56        true                true                          
125  SYSTEM_SECURITY_TEMP                              56        56        true                true                          
126  SYSTEM_STP_CONFIGURATION                          10        10        true                true                          
127  SYSTEM_STP_CONFIGURATION_AUDIT                    11        11        true                true                          
128  SYSTEM_STP_CONFIGURATION_TEMP                     11        11        true                true                          
129  TASK_MASTER                                       12        12        true                true                          
130  TRANSACTION_MESSAGE_TYPE                          13        13        true                true                          
131  TRANSACTION_MESSAGE_TYPE_AUDIT                    14        14        true                true                          
132  TRANSACTION_MESSAGE_TYPE_TEMP                     14        14        true                true                          
133  TRANSACTIONS_COLLATERAL                           19        19        true                true                          
134  TRANSACTIONS_COLLATERAL_ARCHIVE                   19        19        true                true                          
135  TRANSACTIONS_EMAIL                                9         9         true                true                          
136  TRANSACTIONS_MX_DETAILS                           19        19        true                true                          
137  TRANSACTIONS_MX_DETAILS_ARCHIVE                   19        19        true                true                          
138  TRANSACTIONS_MX_DETAILS_HISTORY                   20        20        true                true                          
139  TRANSACTIONS_MX_HEADER                            22        22        true                true                          
140  TRANSACTIONS_MX_HEADER_ARCHIVE                    22        22        true                true                          
141  TRANSACTIONS_MX_HEADER_HISTORY                    23        23        true                true                          
142  TRANSACTIONS_NARRATIVE                            6         6         true                true                          
143  TRANSACTIONS_REPO_MASTER                          19        19        true                true                          
144  TRANSACTIONS_REPO_MASTER_ARCHIVE                  19        19        true                true                          
145  TRANSACTIONS_RETRY                                7         7         true                true                          
146  TRANSACTIONS_SIGNATURE                            7         7         true                true                          
147  TRANSACTIONS_SSDS_DETAILS                         15        15        true                true                          
148  TRANSACTIONS_SSDS_DETAILS_ARCHIVE                 15        15        true                true                          
149  TRANSACTIONS_SSDS_DETAILS_HISTORY                 16        16        true                true                          
150  TRANSACTIONS_SSDS_HEADER                          22        22        true                true                          
151  TRANSACTIONS_SSDS_HEADER_ARCHIVE                  22        22        true                true                          
152  TRANSACTIONS_SSDS_HEADER_HISTORY                  23        23        true                true                          
153  TRANSACTIONS_STAT_DETAILS                         14        14        true                true                          
154  TRANSACTIONS_STAT_DETAILS_ARCHIVE                 14        14        true                true                          
155  TRANSACTIONS_STAT_DETAILS_HISTORY                 15        15        true                true                          
156  TRANSACTIONS_STAT_HEADER                          23        23        true                true                          
157  TRANSACTIONS_STAT_HEADER_ARCHIVE                  23        23        true                true                          
158  TRANSACTIONS_STAT_HEADER_HISTORY                  24        24        true                true                          
159  TRANSACTION_STATUS                                7         7         true                true                          
160  TRANSACTION_STATUS_MAPPING                        8         8         true                true                          
161  TRANSACTIONS_TIME_MOTION                          12        12        true                true                          
162  TRANSACTIONS_TIME_MOTION_ARCHIVE                  12        12        true                true                          
163  TRANSACTION_TYPE_MAPPING                          8         8         true                true                          
164  TRANSACTION_TYPE_MAPPING_AUDIT                    9         9         true                true                          
165  TRANSACTION_TYPE_MAPPING_TEMP                     9         9         true                true                          
166  TRN_CODE                                          9         9         true                true                          
167  TRN_CODE_AUDIT                                    10        10        true                true                          
168  TRN_CODE_TEMP                                     10        10        true                true                          
169  UNIT_PROFILE                                      6         6         true                true                          
170  UNIT_PROFILE_AUDIT                                7         7         true                true                          
171  UNIT_PROFILE_TEMP                                 7         7         true                true                          
172  UNIT_SYSTEM                                       6         6         true                true                          
173  UNIT_SYSTEM_AUDIT                                 7         7         true                true                          
174  UNIT_SYSTEM_TEMP                                  7         7         true                true                          
175  UNIT_TASK                                         6         6         true                true                          
176  UNIT_TASK_AUDIT                                   7         7         true                true                          
177  UNIT_TASK_TEMP                                    7         7         true                true                          
178  USER_APPROVAL_LIMIT                               7         7         true                true                          
179  USER_APPROVAL_LIMIT_AUDIT                         8         8         true                true                          
180  USER_APPROVAL_LIMIT_TEMP                          8         8         true                true                          
181  USER_BRANCH                                       6         6         true                true                          
182  USER_BRANCH_AUDIT                                 7         7         true                true                          
183  USER_BRANCH_TEMP                                  7         7         true                true                          
184  USER_ENTITIES                                     6         6         true                true                          
185  USER_ENTITIES_AUDIT                               7         7         true                true                          
186  USER_ENTITIES_TEMP                                7         7         true                true                          
187  USER_GROUP                                        7         7         true                true                          
188  USER_GROUP_AUDIT                                  8         8         true                true                          
189  USER_GROUP_TEMP                                   8         8         true                true                          
190  USER_PAST_PASSWORD                                7         7         true                true                          
191  USER_PROFILE                                      24        24        true                true                          
192  USER_PROFILE_AUDIT                                25        25        true                true                          
193  USER_PROFILE_ID                                   10        10        true                true                          
194  USER_PROFILE_ID_AUDIT                             11        11        true                true                          
195  USER_PROFILE_ID_TEMP                              12        12        true                true                          
196  USER_PROFILE_TEMP                                 25        25        true                true                          
197  USER_SECURITY_QUESTION                            11        11        true                true                          
198  USER_SYSTEM                                       6         6         true                true                          
199  USER_SYSTEM_AUDIT                                 7         7         true                true                          
200  USER_SYSTEM_TEMP                                  7         7         true                true                          
201  USER_UNIT                                         6         6         true                true                          
202  USER_UNIT_AUDIT                                   7         7         true                true                          
203  USER_UNIT_TEMP                                    7         7         true                true                          


Data Count Validation
=========================================================================================================================
No.  TABLE_NAME                                        MSSQL     PGSQL     Data Count Comparable         
=========================================================================================================================
1    ACCOUNT                                           0         0         true                          
2    ACCOUNT_AUDIT                                     0         0         true                          
3    ACCOUNT_TEMP                                      0         0         true                          
4    APPLICATION_CALENDAR                              1         1         true                          
5    AUDIT_TRAIL                                       549       549       true                          
6    AUDIT_TRAIL_ARCHIVE                               1055      1055      true                          
7    BATCH_AUDIT_TRAIL                                 68        68        true                          
8    BATCH_AUDIT_TRAIL_ARCHIVE                         59        59        true                          
9    BATCH_PROCESS                                     0         0         true                          
10   BATCH_PROCESS_ARCHIVE                             0         0         true                          
11   BHI_MESSAGE_TRAIL                                 148       148       true                          
12   BIC_CODE                                          89        89        true                          
13   BIC_CODE_AUDIT                                    1         1         true                          
14   BIC_CODE_TEMP                                     89        89        true                          
15   BRANCH_CODE                                       1         1         true                          
16   BRANCH_CODE_AUDIT                                 0         0         true                          
17   BRANCH_CODE_TEMP                                  1         1         true                          
18   BROWSE_USER_PREFERENCE                            0         0         true                          
19   BUTTON_MASTER                                     42        42        true                          
20   CDM_PROFILE                                       2         2         true                          
21   CDM_PROFILE_AUDIT                                 0         0         true                          
22   CDM_PROFILE_TEMP                                  2         2         true                          
23   CONNECTION_CONFIGURATION                          1         1         true                          
24   COUNTRY_CODE                                      249       249       true                          
25   COUNTRY_CODE_AUDIT                                0         0         true                          
26   COUNTRY_CODE_TEMP                                 249       249       true                          
27   CURRENCY_CODE                                     154       154       true                          
28   CURRENCY_CODE_AUDIT                               0         0         true                          
29   CURRENCY_CODE_TEMP                                154       154       true                          
30   D4AKEYMST                                         1         1         true                          
31   EMAIL_ALERT_CONFIGURATION                         0         0         true                          
32   EMAIL_ALERT_CONFIGURATION_AUDIT                   0         0         true                          
33   EMAIL_ALERT_CONFIGURATION_TEMP                    0         0         true                          
34   EMAIL_ALERT_TRANSACTION                           0         0         true                          
35   EMAIL_ALERT_TRANSACTION_AUDIT                     0         0         true                          
36   EMAIL_ALERT_TRANSACTION_TEMP                      0         0         true                          
37   EMAIL_ALERT_TYPE                                  4         4         true                          
38   EMAIL_ALERT_TYPE_AUDIT                            0         0         true                          
39   EMAIL_ALERT_TYPE_TEMP                             4         4         true                          
40   EMAIL_NOTIFICATION                                0         0         true                          
41   EMAIL_NOTIFICATION_ARCHIVE                        0         0         true                          
42   EMAIL_SERVER                                      1         1         true                          
43   EMAIL_SERVER_AUDIT                                0         0         true                          
44   EMAIL_SERVER_TEMP                                 1         1         true                          
45   ERROR_LOG                                         73        73        true                          
46   ERROR_MESSAGE                                     1354      1354      true                          
47   ERROR_MESSAGE_AUDIT                               1066      1066      true                          
48   ERROR_MESSAGE_TEMP                                1353      1353      true                          
49   EXTERNAL_LINK                                     27        27        true                          
50   EXTERNAL_LINK_AUDIT                               0         0         true                          
51   EXTERNAL_LINK_TEMP                                27        27        true                          
52   GLOBAL_LIMIT                                      0         0         true                          
53   GLOBAL_LIMIT_AUDIT                                0         0         true                          
54   GLOBAL_LIMIT_TEMP                                 0         0         true                          
55   GROUP_PROFILE                                     2         2         true                          
56   GROUP_PROFILE_AUDIT                               0         0         true                          
57   GROUP_PROFILE_TEMP                                2         2         true                          
58   GROUP_TASK                                        539       539       true                          
59   GROUP_TASK_AUDIT                                  96        96        true                          
60   GROUP_TASK_TEMP                                   526       526       true                          
61   HOUSEKEEP_PERIOD                                  1         1         true                          
62   HOUSEKEEP_PERIOD_AUDIT                            0         0         true                          
63   HOUSEKEEP_PERIOD_TEMP                             1         1         true                          
64   LDAP_CONFIGURATION                                1         1         true                          
65   LDAP_CONFIGURATION_AUDIT                          0         0         true                          
66   LDAP_CONFIGURATION_TEMP                           1         1         true                          
67   MAINTENANCE_AUDIT_TRAIL                           41        41        true                          
68   MAINTENANCE_AUDIT_TRAIL_ARCHIVE                   0         0         true                          
69   MANUAL_STATUS                                     0         0         true                          
70   MEMBER_CODE                                       1         1         true                          
71   MEMBER_CODE_AUDIT                                 0         0         true                          
72   MEMBER_CODE_TEMP                                  1         1         true                          
73   MENU_MASTER                                       148       148       true                          
74   MENU_SEQUENCE                                     0         0         true                          
75   NEWS                                              2         2         true                          
76   NEWS_AUDIT                                        2         2         true                          
77   NEWS_TEMP                                         2         2         true                          
78   OSI_SERVICE_ACCOUNT                               560       560       true                          
79   OSI_SERVICE_ACCOUNT_AUDIT                         26        26        true                          
80   OSI_SERVICE_ACCOUNT_TEMP                          560       560       true                          
81   PRINTER_CONFIGURATION                             1         1         true                          
82   PRINTER_NOTIFICATION                              1         1         true                          
83   PRINTER_TRANSACTION                               1         1         true                          
84   PRINTER_TRANSACTION_AUDIT                         0         0         true                          
85   PRINTER_TRANSACTION_TEMP                          0         0         true                          
86   PRODUCT_TRN_CONFIGURATION                         6507      6507      true                          
87   PRODUCT_TRN_CONFIGURATION_AUDIT                   6510      6510      true                          
88   PRODUCT_TRN_CONFIGURATION_TEMP                    6496      6496      true                          
89   REMARKS                                           0         0         true                          
90   RENTAS_CALENDAR                                   0         0         true                          
91   RENTAS_CALENDAR_AUDIT                             0         0         true                          
92   RENTAS_CUTOFF                                     0         0         true                          
93   RENTAS_CUTOFF_AUDIT                               1         1         true                          
94   RENTAS_CUTOFF_TEMP                                1         1         true                          
95   REPORT_PREFERENCE                                 811       811       true                          
96   REPORT_USER_PREFERENCE                            0         0         true                          
97   RETRY_CONFIGURATION                               2         2         true                          
98   RETRY_CONFIGURATION_AUDIT                         0         0         true                          
99   RETRY_CONFIGURATION_TEMP                          2         2         true                          
100  SECSOINFO                                         46        46        true                          
101  SECURITY_QUESTIONS                                10        10        true                          
102  SECURITY_QUESTIONS_AUDIT                          0         0         true                          
103  SECURITY_QUESTIONS_TEMP                           10        10        true                          
104  SEQUENCE_NUMBER                                   9         9         true                          
105  SERVICES_CONFIGURATION                            5         5         true                          
106  SPECIAL_CHARACTER                                 7         7         true                          
107  SPECIAL_CHARACTER_AUDIT                           0         0         true                          
108  SPECIAL_CHARACTER_TEMP                            7         7         true                          
109  STATUS_UPDATE_CATEGORY                            22        22        true                          
110  STD_CODE                                          36        36        true                          
111  STD_CODE_TEMP                                     0         0         true                          
112  STOCK_CODE                                        35800     35800     true                          
113  STOCK_CODE_AUDIT                                  35800     35800     true                          
114  STOCK_CODE_TEMP                                   35800     35800     true                          
115  STP_MESSAGE_TRAIL                                 253       253       true                          
116  SYSTEM_CONFIGURATION                              44        44        true                          
117  SYSTEM_CONFIGURATION_AUDIT                        44        44        true                          
118  SYSTEM_CONFIGURATION_TEMP                         38        38        true                          
119  SYSTEM_INTEGRITY                                  48        48        true                          
120  SYSTEM_PROFILE                                    1         1         true                          
121  SYSTEM_PROFILE_AUDIT                              0         0         true                          
122  SYSTEM_PROFILE_TEMP                               1         1         true                          
123  SYSTEM_SECURITY                                   1         1         true                          
124  SYSTEM_SECURITY_AUDIT                             149       149       true                          
125  SYSTEM_SECURITY_TEMP                              1         1         true                          
126  SYSTEM_STP_CONFIGURATION                          204       204       true                          
127  SYSTEM_STP_CONFIGURATION_AUDIT                    150       150       true                          
128  SYSTEM_STP_CONFIGURATION_TEMP                     189       189       true                          
129  TASK_MASTER                                       539       539       true                          
130  TRANSACTION_MESSAGE_TYPE                          103       103       true                          
131  TRANSACTION_MESSAGE_TYPE_AUDIT                    37        37        true                          
132  TRANSACTION_MESSAGE_TYPE_TEMP                     98        98        true                          
133  TRANSACTIONS_COLLATERAL                           0         0         true                          
